1,anusha pariti,8105987404,7500,B
2,Ashish Singh,9876890463,11000,A
3,Bhaskar maheshwari,9801834992,12000,A
4,Garima yadav,81059237004,8000,B
5,Tanvi mann,9178352769,9000,B
6,Harish sahai,9876548763,10200,A
7,Kamal gera,8105987404,6500,C
8,Tushar kapoor,8926537154,7200,C
9,Shivshankar das,9801834992,7500,B
10,Aditi jain,9873123456,7500,B
11,Deepa sudhakar,7896785432,8000,B
12,Umang parejiya,7896543674,11000,A
13,Mitali gupta,8796751238,12000,A
14,Manisha Yadav,9867845182,13500,A
15,Shivani godha,9878673428,6500,C
16,Rajan pandey,8987647811,6500,C
17,Roosena manuel,9875623345,10500,A
18,Prabhjot gill,9800786688,8000,B
19,Ankita sharma,9988789656,7500,B
20,Karan Singh,8976665768,9500,B
